strainID,Source,Source:color,Species,Species:colour,MLST_Efm,MLST_Efm:color,MLST_Efc,MLST_Efc:colour,CC17,van,van:color
06003-19-V002,human,#FF0000,Enterococcus faecium,#5E4FA2,363,#03af7a,,,CC17,vanA,#FF8C00
14034-19-V001,human,#FF0000,Enterococcus faecium,#5E4FA2,17,#c9ace6,,,CC17,vanA,#FF8C00
40027-19-V004,human,#FF0000,Enterococcus faecium,#5E4FA2,17,#c9ace6,,,CC17,vanB,#FF00FF
13058-19-V001,human,#FF0000,Enterococcus faecium,#5E4FA2,17,#c9ace6,,,CC17,vanB,#FF00FF
40027-19-V005,human,#FF0000,Enterococcus faecium,#5E4FA2,17,#c9ace6,,,CC17,vanB,#FF00FF
40027-19-V002,human,#FF0000,Enterococcus faecium,#5E4FA2,17,#c9ace6,,,CC17,vanB,#FF00FF
40027-19-V001,human,#FF0000,Enterococcus faecium,#5E4FA2,17,#c9ace6,,,CC17,vanB,#FF00FF
40027-19-V003,human,#FF0000,Enterococcus faecium,#5E4FA2,17,#c9ace6,,,CC17,vanB,#FF00FF
40027-19-V006,human,#FF0000,Enterococcus faecium,#5E4FA2,17,#c9ace6,,,CC17,vanB,#FF00FF
AA-866,food,#00FF00,Enterococcus faecium,#5E4FA2,463,#d8f255,,,,,
AA-865,food,#00FF00,Enterococcus faecium,#5E4FA2,463,#d8f255,,,,,
AA-867,food,#00FF00,Enterococcus faecium,#5E4FA2,463,#d8f255,,,,,
AA-591,food,#00FF00,Enterococcus faecalis,#BCE6A0,,,444,#FECE79,,,
AA-583,food,#00FF00,Enterococcus faecalis,#BCE6A0,,,314,#FDF1A7,,,
AA-587,food,#00FF00,Enterococcus faecalis,#BCE6A0,,,314,#FDF1A7,,,
13058-19-V002,human,#FF0000,Enterococcus faecalis,#BCE6A0,,,6,#5E4FA2,,vanB,#FF00FF
AA-899,food,#00FF00,Enterococcus faecalis,#BCE6A0,,,*79,#D0394E,,,
AA-601,food,#00FF00,Enterococcus faecalis,#BCE6A0,,,,,,,
AA-597,food,#00FF00,Enterococcus faecalis,#BCE6A0,,,,,,,
AA-593,food,#00FF00,Enterococcus faecalis,#BCE6A0,,,489,#FB9D56,,,
AA-918,food,#00FF00,Enterococcus faecalis,#BCE6A0,,,631,#EF6445,,,
AA-585,food,#00FF00,Enterococcus faecalis,#BCE6A0,,,631,#EF6445,,,
AA-916,food,#00FF00,Enterococcus faecalis,#BCE6A0,,,631,#EF6445,,,
AA-922,food,#00FF00,Enterococcus faecalis,#BCE6A0,,,631,#EF6445,,,
AA-934,food,#00FF00,Enterococcus faecalis,#BCE6A0,,,631,#EF6445,,,
AA-895,food,#00FF00,Enterococcus faecalis,#BCE6A0,,,631,#EF6445,,,
AA-926,food,#00FF00,Enterococcus faecalis,#BCE6A0,,,631,#EF6445,,,
AA-930,food,#00FF00,Enterococcus faecalis,#BCE6A0,,,631,#EF6445,,,
AA-914,food,#00FF00,Enterococcus faecalis,#BCE6A0,,,631,#EF6445,,,
AA-924,food,#00FF00,Enterococcus faecalis,#BCE6A0,,,631,#EF6445,,,
AA-920,food,#00FF00,Enterococcus faecalis,#BCE6A0,,,631,#EF6445,,,
AA-928,food,#00FF00,Enterococcus faecalis,#BCE6A0,,,631,#EF6445,,,
AA-595,food,#00FF00,Enterococcus faecalis,#BCE6A0,,,49,#47BAAE,,,
AA-897,food,#00FF00,Enterococcus faecalis,#BCE6A0,,,32,#3184BC,,,
23010-19-V001,human,#FF0000,Enterococcus faecalis,#BCE6A0,,,179,#98D6A4,,vanB,#FF00FF
23010-19-V005,human,#FF0000,Enterococcus faecalis,#BCE6A0,,,179,#98D6A4,,vanB,#FF00FF
23010-19-V003,human,#FF0000,Enterococcus faecalis,#BCE6A0,,,179,#98D6A4,,vanB,#FF00FF
23010-19-V002,human,#FF0000,Enterococcus faecalis,#BCE6A0,,,179,#98D6A4,,vanB,#FF00FF
23010-19-V004,human,#FF0000,Enterococcus faecalis,#BCE6A0,,,179,#98D6A4,,vanB,#FF00FF
AA-707,food,#00FF00,Enterococcus faecalis,#BCE6A0,,,192,#CEED9C,,,
AA-868,food,#00FF00,Enterococcus faecalis,#BCE6A0,,,249,#F5FAAD,,,
